Name,Title,Image
Laura Frías,A&R
Sewit Efrem,Recruiter at Kobalt Music,https://media-exp1.licdn.com/dms/image/C5603AQFK3BpUkLDP4A/profile-displayphoto-shrink_200_200/0?e=1611187200&v=beta&t=pR5-KNYgIt6mFckFQzFRwmvJrcz7wXhia2qfZPwxFYg
Johan Land,CPO @ Kobalt | Google | McKinsey | Entrepreneur | HBS,https://media-exp1.licdn.com/dms/image/C5603AQFw0efIz1U7dQ/profile-displayphoto-shrink_200_200/0?e=1611187200&v=beta&t=UCdWKg3CTpDFtmhNMwNUWs5Zb1ySSy4AtJ7KMjXwTvI
Emily Bines,Senior Creative Director at Kobalt Music,https://media-exp1.licdn.com/dms/image/C4E03AQGyN5w6XOi04A/profile-displayphoto-shrink_200_200/0?e=1611187200&v=beta&t=JkqXSy2Fpwsbfw8gGlCCGU5dMx2oNWqKo9TWBre_MAc
Andrew Karas,Vice President People & Culture - North America,https://media-exp1.licdn.com/dms/image/C5603AQHo_Qn3Rc5lgg/profile-displayphoto-shrink_200_200/0?e=1611187200&v=beta&t=DWWpgQsFzRTRHiL4LXja8ngiLMC2g80LoBrCl4TRUfQ
Laurent Hubert,Chief Executive Officer at Kobalt Music,https://media-exp1.licdn.com/dms/image/C4D03AQGlul7nhVi8TQ/profile-displayphoto-shrink_200_200/0?e=1611187200&v=beta&t=q6GIhZHIS_RhCjFvp9EPJZrvM4MMGINa26XEbSe4NeI
Ellie Rothrock,AWAL | Kobalt Music,https://media-exp1.licdn.com/dms/image/C5603AQEO6cMgZhkYUw/profile-displayphoto-shrink_200_200/0?e=1611187200&v=beta&t=wzHmlOz3TDzArpAI-iHd4s-hJCmP5nQK7G8hEuaFKUw
Doris Tyler,Vice President Communications at KOBALT MUSIC PUBLISHING AMERICA, INC.,https://media-exp1.licdn.com/dms/image/C5603AQFcuHzvYIChoA/profile-displayphoto-shrink_200_200/0?e=1611187200&v=beta&t=yHjPGpbg-sB16OZ6m6gUOu5BUwHFDvjInNU8xApi8ck
Lonny Olinick,CEO, Recorded Music at Kobalt Music,https://media-exp1.licdn.com/dms/image/C5603AQFuTkNxWWv5uQ/profile-displayphoto-shrink_200_200/0?e=1611187200&v=beta&t=lMGiENlyPMVul_EeefOnuwaPUQs87o-65cpXTcgfFfI
Jill Tschogl,VP, Creative at Kobalt Music,https://media-exp1.licdn.com/dms/image/C5603AQEsIr0XfX95iA/profile-displayphoto-shrink_200_200/0?e=1611187200&v=beta&t=m8vj_TtyL9ozXe0VduXLQXI8H81WisLYODluL2Imq8M
Amanda Tufeld,Sr. Director, Creative Services at Kobalt Music,https://media-exp1.licdn.com/dms/image/C5603AQGE7NTaRo6wIA/profile-displayphoto-shrink_200_200/0?e=1611187200&v=beta&t=FtYyjMHnJpXdB44WCx5_yyyzm1bh3HiGJ9xXrPjyUmA
Abhimanyu Janamanchi,Brand & Creative Content Manager at Kobalt
